"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SHIELD1";"ARDUINO_SHIELD_Modified";1;"ARDUINO_SHIELD";;;
2;"Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**,Via**";"Via_0.6mm";84;"Via_0.6mm";;;
3;"C5,C4";"C_0805";2;"680pF";;;
4;"U4";"SOIC-16";1;"LTC2440";;;
5;"C1,C6,C8,C10,C12,C15";"C_0805";6;"100nF";;;
6;"C2";"TantalC_SizeA_EIA-3216_Reflow";1;"4.7µF";;;
7;"C3";"C_0805";1;"47nF";;;
8;"C7,C9";"C_0805";2;"100pF";;;
9;"C11";"TantalC_SizeA_EIA-3216_Reflow";1;"10µF";;;
10;"CON1";"Cliff_DC-10A";1;"LNB Power 22V";;;
11;"D1";"SOD-123";1;"RB160M-30";;;
12;"L1";"0402";1;"2.4µH";;;
13;"P1";"F-Connector";1;"F_Connector";;;
14;"R1";"0805";1;"39K";;;
15;"R2";"0805";1;"10K";;;
16;"R3";"0805";1;"5K";;;
17;"U1";"Power_SO-10";1;"LNBP12SP";;;
18;"U2";"TSSOP-8_3x3mm_Pitch0.65mm";1;"MAX2015";;;
19;"U3";"SO08_4mm";1;"LT1019";;;
20;"C13";"C_0805";1;"2.2µF";;;
21;"C14";"C_0805";1;"0.1µF";;;
22;"C16";"C_0805";1;"10nF";;;
23;"C17";"C_0603";1;"1µF";;;
24;"C18";"C_1206";1;"47µF";;;
25;"R4";"R_0805";1;"0";;;
26;"R5,R6";"R_0805";2;"1K";;;
27;"U5";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"L4931";;;
28;"U6";"SOT-23-5";1;"LTC2050";;;
